Driver Users User ID,Driver Users Metro ID,Latitude,Longitude,Driver Rating
28358,89,40.82519,-73.91606,4
43075,89,40.88010504,-73.90709996,3
36739,89,40.79633,-73.96336,4
36279,89,40.85108,-73.89448,5
39214,89,41.49532,-74.0161,4
40100,89,40.82712,-73.8952,3
38237,89,40.71709,-73.97792,3
37043,89,40.67669391,-73.77772957,3
42579,89,40.82028,-73.95591,3
40566,89,40.67574,-73.87054,3
34389,89,40.83135,-73.94923,3
33314,89,40.86087,-73.89428,3
41821,89,40.797147,-73.969438,3
41512,89,40.83794,-73.91286,3
28503,89,40.83355,-73.9182,4
40107,89,41.35169,-74.19628,4
29177,89,40.9153,-73.84396,3
41819,89,40.81658,-73.90906,3
43725,89,40.79534,-73.96434,3
17059,89,40.71352,-73.96089,3
41947,89,40.6813005,-73.90885733,4
42064,89,40.7084,-73.78787,3
43724,89,40.81419,-73.90762,3
33316,89,40.87417,-73.88709,4
42554,89,40.838613,-73.856525,3
36912,89,40.80041,-73.94052,3
39983,89,40.64387,-73.9538,3
25930,89,40.86167,-73.89598,3
40373,89,40.79777,-73.94971,5
40567,89,40.84024,-73.92223,3
40363,89,40.63036,-73.96807,3
36717,89,40.6731,-73.86774,3
39982,89,40.83356,-73.94339,4
43726,89,40.830991,-73.905144,3
38827,89,40.61394,-74.06933,3
37046,89,40.64883,-73.84086,3
37500,89,40.65274,-73.93807,3
41824,89,40.62158,-73.99468,4
40418,89,40.87218,-73.8848,3
38670,89,40.79657,-73.94345,4
39990,89,40.71108,-73.99447,4
19108,89,40.64904,-73.93097,3
9725,89,40.83708,-73.87123,3
36718,89,40.83848,-73.92666,4
41470,89,40.8518,-73.91955,3
39923,89,40.82332,-73.93931,5
42785,89,40.83112,-73.91834,3
38743,89,40.82212,-73.86993,3
36287,89,40.848108,-73.935873,3
37038,89,40.76212968,-73.86108537,3
38473,89,40.82987,-73.89759,3
40345,89,40.68556,-73.95491,3
39924,89,41.125658,-74.064827,3
40347,89,40.81088,-73.94272,3
38552,89,40.67055,-73.86388,3
39334,89,40.71246,-73.98316,3
35650,89,40.67315,-73.77687,3
37032,89,40.63453,-73.96398,3
